measurement,measurement_2,class
86771,21719,four
71979,36042,four
55625,26823,four
71407,35625,four
51250,27292,four
65938,32188,four
150937,22656,four
68125,39011,four
55208,26406,four
47239,27553,four
103959,60209,four
61042,29583,four
56094,34896,four
57084,31979,four
21875,28802,four
57552,22709,four
68177,30313,four
71979,31771,four
69792,36250,four
57813,28073,four
87448,30521,four
65833,44062,four
75468,30469,four
64791,41146,four
58698,28854,four
70729,30261,four
97552,28594,four
11562,58959,four
65052,31823,four
71406,32344,four
70312,34948,four
69740,39323,four
67239,21667,four
51458,27656,four
57500,28125,four
73698,39792,four
54063,28698,four
64375,30573,four
64739,32447,four
64063,31198,four
79792,40521,four
78438,47135,four
54375,28645,four
49740,28125,four
68490,38802,four
53281,36771,four
92812,49011,four
56459,36823,four
60364,32500,four
68125,38438,four
61614,30677,four
72864,31093,four
79688,46042,four
56927,36718,four
61979,31458,four
57031,28489,four
105573,35938,four
65260,29948,four
11927,28489,four
65886,22656,four
51302,27865,four
170521,232031,four
53594,28281,four
76250,23385,four
65625,30364,four
10885,32917,four
82500,38541,four
61770,29739,four
75417,30260,four
52865,27031,four
66510,30990,four
73438,40208,four
59531,31093,four
98750,58698,four
69114,20312,four
72917,38281,four
116666,39115,four
89323,70677,four
67656,35938,four
83229,37917,four
80104,31823,four
59427,29115,four
81042,46198,four
65052,36823,four
59479,30573,four
63854,30521,four
86407,47969,four
74218,31719,four
78385,50052,four
87448,47396,four
69532,38698,four
87812,48437,four
70781,31302,four
78020,38177,four
78490,31406,four
78177,48125,four
57812,27656,four
64635,37344,four
85886,49740,four
70886,37812,four
76614,38646,four
176198,38229,four
64791,30313,four
90990,48958,four
64166,38646,four
152291,40209,four
69166,37291,four
83698,39532,four
58334,34792,four
68334,39218,four
65260,33438,four
70729,40365,four
83906,51614,four
80209,38594,four
81979,38750,four
70989,39062,four
65521,41666,four
70104,29063,four
64375,38386,four
70313,38490,four
51406,36250,four
79375,40469,four
106875,251510,four
77864,32656,four
21042,29427,four
75052,35885,four
75104,48802,four
75625,39636,four
79896,31927,four
70052,47031,four
72396,51198,four
25156,41979,four
75208,46563,four
77552,30261,four
78385,49270,four
63959,39792,four
76562,30312,four
68386,38802,four
70885,38645,four
63073,32084,four
69792,37656,four
68542,46979,four
96094,38959,four
80677,40000,four
60104,30833,four
64948,29011,four
78489,41927,four
80417,42344,four
77396,36459,four
59687,30834,four
78229,39323,four
74010,31458,four
116928,56302,four
74375,37657,four
77396,37604,four
73073,38437,four
87500,45885,four
77552,33855,four
72344,37187,four
76511,36562,four
69271,38750,four
78021,43177,four
98125,29948,four
69479,30364,four
81250,46979,four
83334,46563,four
18542,211615,four
64010,40052,four
77760,41771,four
85520,50000,four
74948,49114,five
72552,37864,five
122604,309375,five
80781,38802,five
64792,54896,five
105521,63541,five
126614,80520,five
88073,47708,five
86511,51562,five
67136,43073,five
77865,48438,five
73177,36979,five
92396,34167,five
66979,35886,five
87187,61563,five
82604,40312,five
74323,46093,five
82500,45625,five
77552,34271,five
74896,44479,five
70677,34791,five
72656,37031,five
129583,39635,five
81041,43542,five
76458,40677,five
81354,47291,five
71927,39584,five
69115,36198,five
72604,46718,five
86198,50052,five
33697,50209,five
81927,47083,five
87552,47552,five
71094,21563,five
93020,57709,five
80886,46042,five
72709,35313,five
72708,463958,five
63646,34792,five
83229,55521,five
67031,36459,five
89948,56719,five
81979,40209,five
98229,39323,five
86719,53385,five
60104,34636,five
70364,39531,five
68073,37135,five
73854,217292,five
66979,35157,five
150781,62240,five
91563,37500,five
71302,47031,five
65260,34791,five
95105,55260,five
71875,36718,five
76354,38281,five
90937,42292,five
67500,37500,five
82968,37813,five
78073,22396,five
78125,40730,five
66927,38594,five
85885,52917,five
164427,33803,five
92657,70312,five
90417,56510,five
72448,38541,five
72916,38645,five
76823,47448,five
69583,38334,five
93646,47343,five
82604,46667,five
74947,38698,five
73593,41771,five
82709,39844,five
94167,57136,five
166094,129843,five
82240,53438,five
56458,46615,five
78750,47657,five
76615,48594,five
68125,43906,five
78854,45730,five
21459,45781,five
92656,48385,five
116823,29323,five
245209,21666,five
73854,44792,five
91094,55156,five
28385,47343,five
72552,37344,five
78854,39271,five
37500,36146,five
103490,74479,five
125208,94844,five
93021,47812,five
81250,49531,five
88698,61823,five
80677,52240,five
80521,45729,five
71562,36875,five
83438,32657,five
71042,40625,five
85677,50261,five
114739,74583,five
155052,52187,five
88438,56979,five
69531,38594,five
